Unnamed: 0,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,Unnamed: 2,Unnamed: 3,Unnamed: 4,SheetName,NARKOTİK İLAÇ ÇEKMECESİ,desk üzeri,1. çekmece,desk 1. dolap,1. dolap 1. raf,1. Dolap 2. Raf,1. dolap 3. raf,1. dolap 4. raf,1. dolap 5. raf,2. Dolap 1. Raf,2. dolap 2. raf,2. dolap 3. raf,2. dolap 4. raf,2. dolap 5. raf kutu,3. DOLAP 1. RAF,DOLAP ÜSTÜ 1. KUTU,DOLAP ÜSTÜ 2. KUTU
Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,TARİHİ GEÇEN İLAÇLAR,,,,,,,,,,,,,,,,,
3.0,,1.0,1.0,SKT-2029-01:1 kutu,desk Üstü,,Etil Alkol 70' Base Cologne 1000 ml.,,,,,,,,,,,,,,,
4.0,,1.0,1.0,SKT-3000-12:1 kutu,desk Üstü,,El Dezenfektanı Dermosept Handplus 1000 ml.,,,,,,,,,,,,,,,
5.0,,1.0,1.0,SKT-2025-05:1 kutu,desk Üstü,,Oksijenli Su Dermosept 1000 ml.,,,,,,,,,,,,,,,
6.0,,1.0,1.0,SKT-3000-12:1 kutu,desk Üstü,,Zephirafix Fort Çözelti 1000 ml.,,,,,,,,,,,,,,,
7.0,,1.0,100.0,SKT-2029-07:1 kutu,desk Üstü,,Alkollü Mendil,,,,,,,,,,,,,,,
,,0.0,,,desk Üstü,,Atropin,,,,,,,,,,,,,,,
,,9.0,1.0,2025-05-01 00:00:00,desk Üstü,,Novalgin,,,,,,,,,,,,,,,
,,4.0,1.0,2025-08-01 00:00:00,desk Üstü,,Avil,,,,,,,,,,,,,,,
,,6.0,1.0,2025-08-01 00:00:00,desk Üstü,,Türktıpsan Feniramin,,,,,,,,,,,,,,,
,,3.0,1.0,2026-02-01 00:00:00,desk Üstü,,Dekort,,,,,,,,,,,,,,,
,,3.0,1.0,2027-12-01 00:00:00,desk Üstü,,Metpamid,,,,,,,,,,,,,,,
,,0.0,,,desk Üstü,,Bemiks,,,,,,,,,,,,,,,
,,0.0,,,desk Üstü,,Redoxan,,,,,,,,,,,,,,,
,,7.0,1.0,2025-10-01 00:00:00,desk Üstü,,Dicloron,,,,,,,,,,,,,,,
,,1.0,1.0,2028-04-01 00:00:00,desk Üstü,,Muscoflex,,,,,,,,,,,,,,,
,,3.0,1.0,2025-03-01 00:00:00,desk Üstü,,Lasix,,,,,,,,,,,,,,,
,,9.0,1.0,2025-07-01 00:00:00,desk Üstü,,Buscopan,,,,,,,,,,,,,,,
,,,,,desk Üstü,,,,,,,,,,,,,,,,,
,,1.0,1.0,,desk Üstü,,Portatif Defibrilatör Cihaz Primedic Defi Monitor,,,,,,,,,,,,,,,
,,1.0,1.0,,desk Üstü,,Defibrilatör (elektroşok) Cardiolife Actibiphasic Nihon Kohden,,,,,,,,,,,,,,,
,,1.0,1.0,,desk Üstü,,EKG Cihazı Mindray BeneHeart R12,,,,,,,,,,,,,,,
,,1.0,1.0,,desk Üstü,,Büyük Oksijen Tüpü,,,,,,,,,,,,,,,
,,1.0,1.0,,desk Üstü,,Küçük ksijen Tüpü,,,,,,,,,,,,,,,
,,1.0,1.0,,desk Üstü,,Portatif Oksijen Tüpü,,,,,,,,,,,,,,,
,,,,,desk çekmeceler,,,spançlar,,,,,,,,,,,,,,
,,,,,desk çekmeceler,,,makas,,,,,,,,,,,,,,
,,,,,desk çekmeceler,,,,,,,,,,,,,,,,,
,,,,,desk çekmeceler,,,2. çekmece,,,,,,,,,,,,,,
,,,,,desk çekmeceler,,,oksijen maskeleri,,,,,,,,,,,,,,
,,,,,desk çekmeceler,,,laringoskop seti,,,,,,,,,,,,,,
,,,,,desk çekmeceler,,,,,,,,,,,,,,,,,
,,,,,desk çekmeceler,,,3. çekmece,,,,,,,,,,,,,,
,,,,,desk çekmeceler,,,laringoskop seti,,,,,,,,,,,,,,
,,,,,desk çekmeceler,,,damaryolu malzemeleri,,,,,,,,,,,,,,
,,,,,desk çekmeceler,,,ateş ölçer,,,,,,,,,,,,,,
,,,,,desk çekmeceler,,,ekg elektrodu,,,,,,,,,,,,,,
Sıra,,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,desk dolaplar,,,,Ürün Adı,,,,,,,,,,,,,
1,,1,100,SKT-2027-12:1 kutu,desk dolaplar,,,,Enjektör 10 ml.,,,,,,,,,,,,,
2,,4,80,SKT-2027-10:4 kutu,desk dolaplar,,,,Steril Emici Spanç Kompres b-good 4 kat 20*5,,,,,,,,,,,,,
3,,4,4,SKT-2024-09:4 kutu,desk dolaplar,,,,Steril Pamuklu Ped 12cm*24cm,,,,,,,,,,,,,
4,,100,100,SKT-2026-06:100 kutu,desk dolaplar,,,,Steril Pamuklu Ped 10cm*10cm tekli paket,,,,,,,,,,,,,
5,,2,2,SKT-3000-12:2 kutu,desk dolaplar,,,,Elastik Bandaj Hypoallergenic ArtıMed 15*150cm,,,,,,,,,,,,,
6,,3,3,SKT-3000-12:3 kutu,desk dolaplar,,,,Elastik Bandaj Hypoallergenic ArtıMed 20*150cm,,,,,,,,,,,,,
7,,2,2,SKT-3000-12:2 kutu,desk dolaplar,,,,Elastik Bandaj Hypoallergenic ArtıMed 10*150cm,,,,,,,,,,,,,
8,,4,4,SKT-3000-12:4 kutu,desk dolaplar,,,,Elastik Bandaj Hypoallergenic ArtıMed 6*150cm,,,,,,,,,,,,,
9,,6,6,SKT-2019-01:6 kutu,desk dolaplar,,,,Hidrofil Sargı Bezi 15cm*10m,,,,,,,,,,,,,
10,,4,1,,desk dolaplar,,,,Tulum,,,,,,,,,,,,,
,,,,,desk dolaplar,,,,,,,,,,,,,,,,,
,,,,,desk dolaplar,,,,desk 2. açık dolap,,,,,,,,,,,,,
,,1,1,,desk dolaplar,,,,şişme atel,,,,,,,,,,,,,
,,4,1,,desk dolaplar,,,,tıbbi atık kutusu,,,,,,,,,,,,,
,,1,1,,desk dolaplar,,,,doğum seti,,,,,,,,,,,,,
,,1,1,,desk dolaplar,,,,cenaze torbası,,,,,,,,,,,,,
,,2,1,,desk dolaplar,,,,Tulum tek kullanımlık,,,,,,,,,,,,,
,,,,,desk dolaplar,,,,,,,,,,,,,,,,,
,,,,,desk dolaplar,,,,,,,,,,,,,,,,,
,,,,,desk dolaplar,,,,desk 3. dolap açık,,,,,,,,,,,,,
,,50,1,2026-05-01 00:00:00,desk dolaplar,,,,Steril spanç gaz kompres hidrofil,,,,,,,,,,,,,
,,1,1,,desk dolaplar,,,,Plusmed ecg cihazı,,,,,,,,,,,,,
,,2,1,,desk dolaplar,,,,batarya,,,,,,,,,,,,,
,,1,1,,desk dolaplar,,,,AED plus zoll,,,,,,,,,,,,,
,,,,,desk dolaplar,,,,pamuk,,,,,,,,,,,,,
,,1,1,,desk dolaplar,,,,aspiratör devillbiss,,,,,,,,,,,,,
Sıra,,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,1d1r,,,,,Ürün Adı,,,,,,,,,,,,
1,,2,2,SKT-2026-01:2 kutu,1d1r,,,,,%5 Dekstroz 250 ml.,,,,,,,,,,,,
2,,10,10,"SKT-2027-06:1 kutu, SKT-2026-02:9 kutu",1d1r,,,,,%5 Dekstroz 500 ml.,,,,,,,,,,,,
Sıra,,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,1d2r,,,,,,Ürün Adı,,,,,,,,,,,
1,,5,5,"SKT-2026-12:4 kutu, SKT-2027-07:1 kutu",1d2r,,,,,,%0.9 izotonik sodyum klorür 500 ml.,,,,,,,,,,,
2,,6,6,SKT-2026-10:6 kutu,1d2r,,,,,,%0.9 izotonik sodyum klorür 250 ml.,,,,,,,,,,,
Sıra,,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,1d3r,,,,,,,Ürün Adı,,,,,,,,,,
1,,2,2,SKT-2025-08:2 kutu,1d3r,,,,,,,İzoleks - P %5 Dekstroz 500 ml.,,,,,,,,,,
2,,6,6,SKT-2025-12:6 kutu,1d3r,,,,,,,İZOLEN DENGELİ 500 ML.,,,,,,,,,,
3,,7,7,SKT-2025-06:7 kutu,1d3r,,,,,,,LAKTATLI RİNGER 500 ML.,,,,,,,,,,
Sıra,,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,1d4r,,,,,,,,Ürün Adı,,,,,,,,,
1,,2,2,SKT-2026-11:2 kutu,1d4r,,,,,,,,ENDOTRAKEAL TÜP KAFLI 6 MM.,,,,,,,,,
2,,2,2,SKT-2029-04:2 kutu,1d4r,,,,,,,,ENDOTRAKEAL TÜP KAFLI 7 MM.,,,,,,,,,
3,,2,2,SKT-2028-01:2 kutu,1d4r,,,,,,,,ENDOTRAKEAL TÜP KAFLI 8 MM.,,,,,,,,,
4,,2,2,SKT-2028-12:2 kutu,1d4r,,,,,,,,ENDOTRAKEAL TÜP KAFLI 4 MM.,,,,,,,,,
5,,20,20,"SKT-2026-01:10 kutu, SKT-2026-05:5 kutu, SKT-2028-05:5 kutu",1d4r,,,,,,,,İNFÜZYON SETİ,,,,,,,,,
6,,1,1,SKT-2040-05:1 kutu,1d4r,,,,,,,,AKTİF KARBON TOZ 100 GR,,,,,,,,,
7,,2,1,,1d4r,,,,,,,,TIBBİ ATIK POŞETİ BÜYÜK BOY,,,,,,,,,
8,,1,1,,1d4r,,,,,,,,YANIK SETİ,,,,,,,,,
Sıra,,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,1d5r,,,,,,,,,Ürün Adı,,,,,,,,
1,,200,200,SKT-2028-06:200 kutu,1d5r,,,,,,,,,ENJEKTÖR 10 ML.,,,,,,,,
2,,1,100,SKT-2029-03:1 kutu,1d5r,,,,,,,,,Palintest SU WATER TEST REAGENTS,,,,,,,,
3,,1,1,SKT-2019-02:1 kutu,1d5r,,,,,,,,,ULTRASOUND GEJ JEL 1000 ML.,,,,,,,,
Sıra,,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,2d1r,,,,,,,,,,Ürün Adı,,,,,,,
1,,1,12,SKT-2027-09:1 kutu,2d1r,,,,,,,,,,NOOTROPIL 1 GR 12 AMPUL,,,,,,,
2,,2,2,"SKT-2026-10:1 kutu, SKT-2027-07:1 kutu",2d1r,,,,,,,,,,PREDNOL-L 250 MG 1 AMPUL,,,,,,,
3,,6,6,"SKT-2027-11:1 kutu, SKT-2027-03:3 kutu, SKT-2028-01:2 kutu",2d1r,,,,,,,,,,PREDNOL-L 40 MG 1 AMPUL,,,,,,,
4,,2,2,SKT-2028-11:2 kutu,2d1r,,,,,,,,,,METPAMID 10 MG 5 AMPUL,,,,,,,
5,,3,18,"SKT-2026-12:1 kutu, SKT-2025-07:1 kutu, SKT-2025-10:1 kutu",2d1r,,,,,,,,,,BUSCOPAN 20 MG/ML ENJEKSIYONLUK COZELTI (6 AMPUL),,,,,,,
6,,1,1,SKT-2025-07:1 kutu,2d1r,,,,,,,,,,CORTIPOL 250 MG I.M./I.V. ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU (1 AMPUL + 1 ENJEKSIYONLUK SU ICEREN AMPUL),,,,,,,
7,,3,15,"SKT-2025-08:1 kutu, SKT-2026-02:1 kutu, SKT-2025-07:1 kutu",2d1r,,,,,,,,,,"TURKTIPSAN FENIRAMIN MALEAT 45,5 MG/2 ML IM/IV ENJEKSIYONLUK COZELTI (5 AMPUL)",,,,,,,
8,,8,8,"SKT-2026-02:1 kutu, SKT-2027-05:3 kutu, SKT-2026-01:2 kutu, SKT-2028-05:1 kutu, SKT-2026-12:1 kutu",2d1r,,,,,,,,,,DEKORT 2 ML 8 MG 1 AMPUL,,,,,,,
9,,1,6,SKT-2026-05:1 kutu,2d1r,,,,,,,,,,MUSCORIL 4 MG 2 ML 6 AMPUL,,,,,,,
10,,2,20,"SKT-2027-01:1 kutu, SKT-2025-10:1 kutu",2d1r,,,,,,,,,,DICLOMEC 3 ML 75 MG 10 AMPUL,,,,,,,
11,,3,30,"SKT-2025-05:2 kutu, SKT-2025-04:1 kutu",2d1r,,,,,,,,,,NOVALGIN 2 ML 10 AMPUL,,,,,,,
12,,1,10,SKT-2027-10:1 kutu,2d1r,,,,,,,,,,MAGNEZYUM SULFAT %15 10 ML,,,,,,,
13,,4,4,"SKT-2026-05:1 kutu, SKT-2026-06:3 kutu",2d1r,,,,,,,,,,OKSAMEN-L 20 MG 1 FLAKON,,,,,,,
14,,3,15,SKT-2025-03:3 kutu,2d1r,,,,,,,,,,LASIX 20 MG/2 ML 5 AMPUL,,,,,,,
15,,1,5,SKT-2024-12:1 kutu,2d1r,,,,,,,,,,DOPADREN 200 MG/5 ML ENJEKSIYONLUK SOLUSYON ICEREN 5 AMPUL,,,,,,,
16,,2,2,SKT-2025-04:2 kutu,2d1r,,,,,,,,,,DILTIZEM 25 MG 1 FLAKON,,,,,,,
17,,1,5,SKT-2027-05:1 kutu,2d1r,,,,,,,,,,FUROMID 20 MG 5 AMPUL,,,,,,,
18,,1,5,SKT-2028-02:1 kutu,2d1r,,,,,,,,,,"DIGOXIN - ASSOS 0,5 MG /2 ML IV ENJEKSIYONLUK COZELTI 5 AMPUL",,,,,,,
Sıra,,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,2d2r,,,,,,,,,,,Ürün Adı,,,,,,
1,,1,30,SKT-2025-11:1 kutu,2d2r,,,,,,,,,,,KATARIN 250 MG/100 MG/2 MG 30 KAPSUL,,,,,,
2,,1,30,SKT-2027-09:1 kutu,2d2r,,,,,,,,,,,DIKLORON 25 MG 30 FILM TABLET,,,,,,
3,,2,60,"SKT-2026-12:1 kutu, SKT-2028-10:1 kutu",2d2r,,,,,,,,,,,PAROL 500 MG 30 TABLET,,,,,,
4,,1,10,SKT-2028-12:1 kutu,2d2r,,,,,,,,,,,APRANAX FORTE 550 MG 10 FILM KAPLI TABLET,,,,,,
5,,2,20,SKT-2026-05:2 kutu,2d2r,,,,,,,,,,,LODINE 300 MG 10 FILM TABLET,,,,,,
6,,1,20,SKT-2026-02:1 kutu,2d2r,,,,,,,,,,,ARVELES 25 MG 20 FILM TABLET,,,,,,
7,,1,10,SKT-2027-01:1 kutu,2d2r,,,,,,,,,,,REFLOR 250 MG LIYOFILIZE TOZ ICEREN 10 SASE,,,,,,
8,,2,40,SKT-2024-10:2 kutu,2d2r,,,,,,,,,,,buscopan 10 mg 20 tb,,,,,,
