Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,yer,SheetName,Unnamed: 6
2.0,BANDAFİX ELASTİK GENİŞ MESH BANDAJ SİZE 6,1,1,SKT-2015-06:1 kutu,3. dolap 3. raf,3d3r,
3.0,TAHTA DİL BASACAĞI ABESLANG 100'LÜ,1,100,SKT-2029-08:1 kutu,3. dolap 3. raf,3d3r,
4.0,CARBOMİX 50 G ORAL SÜSP İÇİN GRANÜL,1,1,SKT-2018-10:1 kutu,3. dolap 3. raf,3d3r,
5.0,SURGİFİX M25 7,2,2,SKT-2017-10:2 kutu,3. dolap 3. raf,3d3r,
6.0,STERİL GAZ KOMPRES 7.5X7.5CM 20X5,2,40,SKT-2017-10:2 kutu,3. dolap 3. raf,3d3r,
7.0,SURGİFİX M25 5,2,2,SKT-2017-08:2 kutu,3. dolap 3. raf,3d3r,
8.0,PAMUK ASTERİL 200G,2,2,SKT-3000-08:2 kutu,3. dolap 3. raf,3d3r,
9.0,ELASTİK BANDAJ 10X120CM,5,5,SKT-2029-04:5 kutu,3. dolap 3. raf,3d3r,
10.0,KANAMA DURDURUCU ISLAK TAMPON 5X5CM,5,5,SKT-2020-02:5 kutu,3. dolap 3. raf,3d3r,
11.0,KANAMA DURDURUCU ISLAK TAMPON 7X5X1CM,3,3,SKT-2029-01:3 kutu,3. dolap 3. raf,3d3r,
12.0,PELVİK KEMER,1,1,SKT-3000-01:1 kutu,3. dolap 3. raf,3d3r,
13.0,KULAKTAN ÖLÇER DİJİTAL TERMOMETRE PROBU 40 ADET,1,40,SKT-3000-01:1 kutu,3. dolap 3. raf,3d3r,
14.0,YARA BANDI 10X30,1,26,SKT-2009-02:1 kutu,3. dolap 3. raf,3d3r,
15.0,POTASYUM PERMANGANAT 100 GR,1,1,SKT-3000-02:1 kutu,3. dolap 3. raf,3d3r,
16.0,FLASTER TIBBİ ESNEK 2.5CM X 5M,4,4,SKT-2027-06:4 kutu,3. dolap 3. raf,3d3r,
17.0,FLASTER TIBBİ ESNEK 10CM X 10M,1,1,SKT-2028-11:1 kutu,3. dolap 3. raf,3d3r,
18.0,ENJEKSİYON BANDI 100'LÜ,13,1300,"SKT-2028-11:10 kutu, SKT-2025-01:3 kutu",3. dolap 3. raf,3d3r,
19.0,FLASTER TIBBİ ESNEK 5CM X 10M,1,1,SKT-2027-06:1 kutu,3. dolap 3. raf,3d3r,
1.0,JEL GEL PACKS 13X26CM SICAK VE SOĞUK KOMPRES JEL,4,4,SKT-3000-06:4 kutu,3. dolap 4. raf,3d4r,
2.0,ETİL ALKOL 70 DERECE 1000 ML.,4,4,SKT-2029-04:4 kutu,3. dolap 4. raf,3d4r,
3.0,JEL TERMOJEL GEL PACKS 13X13CM SICAK VE SOĞUK KOMPRES JEL,1,1,SKT-3000-04:1 kutu,3. dolap 4. raf,3d4r,
4.0,FLASTER 10CMX10MT,10,10,SKT-2029-07:10 kutu,3. dolap 4. raf,3d4r,
5.0,SOĞUTUCU SPREY CLORETHYL 150 ML.,4,4,SKT-2029-09:4 kutu,3. dolap 4. raf,3d4r,
6.0,PAMUKLU PED STERİL 10CMX10CM TEKLİ PAKET,200,200,SKT-2029-09:200 kutu,3. dolap 4. raf,3d4r,
1.0,DERMOSEPT ALET YÜZEY DEZENFEKTANI KULLANIMA HAZIR 1000ML.,9,9,SKT-2022-08:9 kutu,3. dolap 5. raf,3d5r,
2.0,DERMOSEPT EL DEZENFEKTANI 1000 ML.,1,1,SKT-2022-08:1 kutu,3. dolap 5. raf,3d5r,
3.0,DERMOSEPT ZEFİRAN ANTİNAKTERYEL ANTİFUNGAL ÇÖZELTİ 1000 ML.,1,1,SKT-2022-04:1 kutu,3. dolap 5. raf,3d5r,
4.0,OKSİJENLİ SU 1000 ML,1,1,SKT-2026-10:1 kutu,3. dolap 5. raf,3d5r,
5.0,SAF SU (DEİYONİZE SU) 1000 G,1,1,SKT-2024-09:1 kutu,3. dolap 5. raf,3d5r,
6.0,POVİİYODEKS ANTİSEPTİK ÇÖZELTİ 100 ML.,1,1,SKT-2026-08:1 kutu,3. dolap 5. raf,3d5r,
7.0,SAF SU (DEİYONİZE SU) 1000 G NON STERİL,1,1,SKT-2022-02:1 kutu,3. dolap 5. raf,3d5r,
8.0,BATİDERM %10 POVİDON İYOT 1000ML,7,7,SKT-2025-03:7 kutu,3. dolap 5. raf,3d5r,
1.0,Cerrahi Önlük,48,48,,4.dolap 1. Raf,4.DOLAP,
2.0,Koruyucu Giysi CAT 3 M Beden,5,5,,4.dolap 2. Raf,4.DOLAP,
3.0,Koruyucu Giysi CAT 3 L Beden,1,1,,4.dolap 2. Raf,4.DOLAP,
4.0,Koruyucu Giysi CAT 3 XL Beden,2,2,,4.dolap 2. Raf,4.DOLAP,
5.0,Galoş,50,50,2025-11-01 00:00:00,4.dolap 2. Raf,4.DOLAP,
6.0,Cerrahi Eldiven S,2,2,,4.dolap 2. Raf,4.DOLAP,
7.0,Cerrahi Eldiven M,3,3,2028-05-01 00:00:00,4.dolap 2. Raf,4.DOLAP,
8.0,Cerrahi Eldiven L,1,1,2025-06-01 00:00:00,4.dolap 2. Raf,4.DOLAP,
9.0,Cerrahi Eldiven L,1,1,2025-11-01 00:00:00,4.dolap 2. Raf,4.DOLAP,
10.0,Cerrahi Eldiven L,3,3,2026-05-01 00:00:00,4.dolap 2. Raf,4.DOLAP,
11.0,Tıbbi Atık Kutusu,2,2,,4.dolap 3. Raf,4.DOLAP,
12.0,Koruyucu Gözlük,6,6,,4.dolap 3. Raf,4.DOLAP,
13.0,Yüz Siperi,1,1,,4.dolap 3. Raf,4.DOLAP,
14.0,Cerrahi Maske,200,200,,4.dolap 3. Raf,4.DOLAP,
15.0,Cerrahi Önlük,8,8,,4.dolap 4. Raf,4.DOLAP,
16.0,Tulum Disposible M Beden,1,1,,4.dolap 4. Raf,4.DOLAP,
17.0,Tulum Disposible L Beden,2,2,,4.dolap 4. Raf,4.DOLAP,
18.0,Bone,0,0,,4.dolap 4. Raf,4.DOLAP,
19.0,Laringoskop Seti,3,3,,4.dolap 5. Raf,4.DOLAP,
20.0,Cerrahi Seti,2,2,,4.dolap 5. Raf,4.DOLAP,
21.0,Böbrek Küveti,1,1,,4.dolap 5. Raf,4.DOLAP,
22.0,Boyunluk,4,4,,4.dolap 5. Raf,4.DOLAP,
1.0,Adrenalin 0.5 mg Amp,14,14,2026-10-01 00:00:00,Acil Çantası,AcilÇantası,
2.0,Atropin 1mg/1ml Amp,9,9,2026-09-01 00:00:00,Acil Çantası,AcilÇantası,
3.0,Dekort 8 mg/2 ml Amp,3,3,2025-12-01 00:00:00,Acil Çantası,AcilÇantası,
4.0,Turktipsan Feniramin Maleat 45.5 mg/2 ml Amp,3,3,2026-02-01 00:00:00,Acil Çantası,AcilÇantası,
5.0,Diclomec 75 mg/3 ml Amp,2,2,2025-10-01 00:00:00,Acil Çantası,AcilÇantası,
6.0,Muscoflex 4mg/2ml Amp,2,2,2026-12-01 00:00:00,Acil Çantası,AcilÇantası,
7.0,Novalgin 1 gr/2 ml Amp,2,2,2025-05-01 00:00:00,Acil Çantası,AcilÇantası,
8.0,Isordil 5 mg Tb,50,50,2025-06-01 00:00:00,Acil Çantası,AcilÇantası,
9.0,Beloc Zok 25 mg Tb,10,10,2025-12-01 00:00:00,Acil Çantası,AcilÇantası,
10.0,Kapril 25 mg Tb,31,31,2025-05-01 00:00:00,Acil Çantası,AcilÇantası,
11.0,Ecopirin 300 mg Tb,8,8,2025-09-01 00:00:00,Acil Çantası,AcilÇantası,
12.0,Parol 500 mg Tb,10,10,2026-12-01 00:00:00,Acil Çantası,AcilÇantası,
13.0,Cordarone 200 mg Tb,15,15,2025-03-01 00:00:00,Acil Çantası,AcilÇantası,
14.0,Petholan Petidin 100mg/2ml Amp,1,1,2026-09-01 00:00:00,Acil Çantası,AcilÇantası,
15.0,Epitoin 250 mg/5ml Amp,-,-,-,Acil Çantası,AcilÇantası,
16.0,Norodol (Haloperidol) Amp,1,1,2026-08-01 00:00:00,Acil Çantası,AcilÇantası,
17.0,Midajet (Midazolam) 15 mg/3ml Amp,1,1,2026-04-01 00:00:00,Acil Çantası,AcilÇantası,
18.0,Akineton (Biperiden) Amp,1,1,2027-11-01 00:00:00,Acil Çantası,AcilÇantası,
19.0,Contramal (Tramadol) 100 mg Amp,1,1,2025-05-01 00:00:00,Acil Çantası,AcilÇantası,
20.0,Diazem (Diazepam) 10mg/2ml Amp,2,2,2026-05-01 00:00:00,Acil Çantası,AcilÇantası,
21.0,Dopadren 200 mg/5 ml Amp,-,-,-,Acil Çantası,AcilÇantası,
22.0,Dramamine (Dimenhidrinat) 50mg/1ml Amp,-,-,-,Acil Çantası,AcilÇantası,
23.0,Morfin Amp,1,1,2025-06-01 00:00:00,Acil Çantası,AcilÇantası,
24.0,Prednol L 40 mg Flk,3,3,2026-09-01 00:00:00,Acil Çantası,AcilÇantası,
25.0,Buscopan Amp,6,6,2025-07-01 00:00:00,Acil Çantası,AcilÇantası,
26.0,Metpamid Amp,3,3,2027-12-01 00:00:00,Acil Çantası,AcilÇantası,
27.0,Metloc (Metoprolol) 5mg/5ml Amp,-,-,-,Acil Çantası,AcilÇantası,
28.0,Diltizem L 25 mg Amp,1,1,2025-04-01 00:00:00,Acil Çantası,AcilÇantası,
29.0,Lasix 40 mg/ 2 ml Amp,5,5,1960-04-20 00:00:00,Acil Çantası,AcilÇantası,
1.0,METPAMID 10 MG 5 AMPUL,4.0,20.0,"SKT-2028-10:2 kutu, SKT-2028-11:2 kutu",DOLAP ÜSTÜ 1. KUTU,DÜ1,
2.0,"AVIL 45,5 MG/2 ML IM/IV ENJEKSIYONLUK COZELTI",4.0,20.0,SKT-2025-08:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
3.0,ECOPIRIN 300 MG 30 ENTERIK KAPLI TABLET,2.0,60.0,SKT-2025-11:2 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
4.0,CORTIPOL 250 MG I.M./I.V. ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU (1 AMPUL + 1 ENJEKSIYONLUK SU ICEREN AMPUL),4.0,4.0,SKT-2025-07:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
5.0,NEXIUM 40 MG ENTERIK KAPLI 28 PELLET TABLET,6.0,168.0,"SKT-2026-12:3 kutu, SKT-2027-01:3 kutu",DOLAP ÜSTÜ 1. KUTU,DÜ1,
6.0,MUSCORIL 4 MG 2 ML 6 AMPUL,9.0,54.0,SKT-2026-05:9 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
7.0,"TIYOKAS MONO 12,5 MG/1 G JEL (60 G)",4.0,4.0,"SKT-2026-02:1 kutu, SKT-2026-06:3 kutu",DOLAP ÜSTÜ 1. KUTU,DÜ1,
8.0,ARVELES 25 MG 20 FILM TABLET,9.0,180.0,SKT-2026-02:9 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
9.0,MUSCORIL 4 MG 20 KAPSUL,8.0,160.0,"SKT-2026-03:6 kutu, SKT-2026-02:2 kutu",DOLAP ÜSTÜ 1. KUTU,DÜ1,
10.0,ANESTOL %5 MERHEM,5.0,5.0,SKT-2026-12:5 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
11.0,BUSCOPAN 20 MG/ML ENJEKSIYONLUK COZELTI (6 AMPUL),4.0,24.0,SKT-2026-12:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
12.0,BRUFEN 600 MG 20 FILM TABLET,3.0,60.0,SKT-2027-02:3 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
13.0,KATARIN 250 MG/100 MG/2 MG 30 KAPSUL,7.0,210.0,"SKT-2027-10:5 kutu, SKT-2027-09:2 kutu",DOLAP ÜSTÜ 1. KUTU,DÜ1,
14.0,"FURADERM % 0,2 56 GR POMAD",4.0,4.0,SKT-2027-11:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
15.0,DICLOMEC 3 ML 75 MG 10 AMPUL,4.0,40.0,SKT-2027-01:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
16.0,BUSCOPAN 10 MG KAPLI TABLET (20 TABLET),5.0,100.0,SKT-2027-03:5 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
17.0,REFLOR 250 MG LIYOFILIZE TOZ ICEREN 10 SASE,2.0,20.0,SKT-2027-01:2 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
18.0,A-FERIN FORTE 650 MG 30 TABLET,7.0,210.0,SKT-2028-12:7 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
19.0,"TALCID 0,5 GR 40 CIG.TABLETI",6.0,240.0,SKT-2028-04:6 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
20.0,DIKLORON 25 MG 30 FILM TABLET,2.0,60.0,SKT-2028-05:2 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
21.0,APRANAX FORTE 550 MG 10 FILM KAPLI TABLET,9.0,90.0,SKT-2028-12:9 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
22.0,SILVERDIN % 1 40 GR KREM,5.0,5.0,SKT-2028-02:5 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
23.0,DICLOMEC %1 50 GR JEL,4.0,4.0,SKT-2028-01:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
24.0,PAROL 500 MG 30 TABLET,4.0,120.0,SKT-2029-08:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
25.0,METPAMID 10 MG 30 TABLET,3.0,90.0,SKT-2029-04:3 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1,
,,,,,,DÜ1,
,,,,Rev. 19/01/2025,,DÜ1,
1.0,ENJEKTÖR 5ML.,170,170,SKT-2029-02:170 kutu,DOLAP ÜSTÜ 2. KUTU,DÜ2,
